2023年04月原材料收发存明细表,,,,,,,,,,
商品编号,商品全名,成品货号,上期存上期数量,上期存上期金额,本期入入库合计数量,本期入入库合计金额,本期出出库合计数量,本期出出库合计金额,本期存本期数量,本期存本期金额
020101582,（DIY穿绳套装-我的小宠物）彩盒,CH211797,2414,2848.52,,,1020,1203.6,1394,1644.92
020101583,（DIY穿绳套装-我的恐龙朋友）彩盒,CH211798,1850,2183,,,1020,1203.6,830,979.4
020101584,（DIY穿绳套装-我的海洋朋友）彩盒,CH211799,1996,2355.28,,,1020,1203.6,976,1151.68
020101603,信封,CH1674,300,699,,,300,699,,
020101606,信封,CH1677,300,699,,,,,300,699
020101609,（趣味刮刮画-动物）小信封包装,CH211790,1940,2134,,,1020,1122,920,1012
020101610,（趣味刮刮画-恐龙）小信封包装,CH211791,5980,6578,,,1020,1122,4960,5456
020101611,（趣味刮刮画-海洋）小信封包装,CH211792,2000,2200,,,1020,1122,980,1078
020101614,（我的钓鱼游戏-丛林动物）圆筒,CH211788,4100,19106,,,284,1323.44,3816,17782.56
020101615,（我的钓鱼游戏-美味甜品）圆筒,CH211789,4148,19329.68,,,184,857.44,3964,18472.24
020101621,（创意蜡笔套装-四季变换）披萨盒,BTS216017,4302,6453,,,280,420,4022,6033
020101622,（创意蜡笔套装-森林音乐会）披萨盒,BTS216018,2686,4029,,,164,246,2522,3783
020101623,（创意蜡笔套装-小小树屋）披萨盒,BTS216019,2334,3501,,,160,240,2174,3261
020101624,（创意蜡笔套装-去野餐呀）披萨盒,BTS216020,4290,6435,,,560,840,3730,5595
020101625,彩盒,38195,,,2550,4080,,,2550,4080
020101631,（线条刮刮画- 哇，动物们）折叠小信封,CH221568,7210,6128.5,,,1600,1360,5610,4768.5
020101632,（线条刮刮画- 鸟类动物）折叠小信封,CH221569,7950,6757.5,,,1600,1360,6350,5397.5
020101633,（线条刮刮画- 恐龙）折叠小信封,CH221570,7830,6655.5,,,,,7830,6655.5
020101634,（线条刮刮画- 独角兽）折叠小信封,CH221571,6450,5482.5,3080,2618,2320,1972,7210,6128.5
020101635,（线条刮刮画- 神奇天马）折叠小信封,CH221541,2710,2303.5,3080,2618,1780,1513,4010,3408.5
020101636,（线条刮刮画- 童话精灵）折叠小信封,CH221546,3430,2915.5,,,1660,1411,1770,1504.5
020101010,（艾维尼趣味刮刮画-太空）折叠小信封包装,CH191678,700,805,,,,,700,805
020101011,（艾维尼趣味刮刮画-工程车）折叠小信封包装,CH191679,620,713,,,,,620,713
020101013,（艾维尼趣味刮刮画-萌萌小怪兽）折叠小信封包装,CH191680,2320,2668,,,,,2320,2668
020101014,（艾维尼趣味刮刮画-交通工具）折叠小信封包装,CH191681,2780,3197,,,,,2780,3197
020101640,带提手蛋糕盒包装,CH221815,5174,8692.32,,,932,1565.76,4242,7126.56
020101641,带提手蛋糕盒包装,CH221816,2852,4791.36,3030,5090.4,656,1102.08,5226,8779.68
